"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Yah ne the people of <ed><U+00A0><U+00BC><ed><U+00B7><U+00BF><ed><U+00A0><U+00BC><ed><U+00B7><U+00BC> <ed><U+00A0><U+00BC><ed><U+00B7><U+00BF><ed><U+00A0><U+00BC><ed><U+00B7><U+00BC> have been played again, by the same man.
#Zimbabwe
#Mugabe https://t.co/nQ4al13zof",FALSE,0,NA,2017-12-01 20:00:24,FALSE,NA,"936686438929911808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iam_wayneIII",0,FALSE,FALSE,NA,NA
"2","#WORLD | From widely acclaimed emancipator of his nation to loathed leader, Robert #Mugabe’s 37-year rule of… https://t.co/xGb7srNpf0",FALSE,0,NA,2017-12-01 20:00:04,TRUE,NA,"936686356008497156",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","theBAtimes",0,FALSE,FALSE,NA,NA
"3","RT @mrsverypicky: Shocking report on #c4news about the profligacy of #Mugabe 's sons in Johannesburg night clubs. Lets hope these boys soon…",FALSE,0,NA,2017-12-01 19:57:54,FALSE,NA,"936685809616543745",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LadyVGrantham",1,TRUE,FALSE,NA,NA
"4","Zimbabwe's Mugabe ignores party deadline to quit | Mugabe #Mugabe https://t.co/IjITSetGP5 #mugabe",FALSE,0,NA,2017-12-01 19:57:51,FALSE,NA,"936685797276872706",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","linadbg",0,FALSE,FALSE,NA,NA
"5","RT @stephfenty: #Mugabe @ the world https://t.co/K8KQ4OVDl8",FALSE,0,NA,2017-12-01 19:56:46,FALSE,NA,"936685523791417344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","carefreeblvkkid",358,TRUE,FALSE,NA,NA
"6","now that #mugabe is gone, zimbabweans will expect change, but they will not receive it with #Mnangagwa there will b… https://t.co/LBedMZnc0c",FALSE,0,NA,2017-12-01 19:54:04,TRUE,NA,"936684844519628800",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ftrhaircmplmnt",0,FALSE,FALSE,NA,NA
"7","RT @dewamavhinga: Breaking: #Zimbabwe former deputy president to #Mugabe, R.P Mphoko reportedly handed over to Zimbabwe police by Botswana…",FALSE,0,NA,2017-12-01 19:52:44,FALSE,NA,"936684509579399169",NA,"<a href=""http://wwicsgroup.com"" rel=""nofollow"">retweet wwics app</a>","WWICSReviews",17,TRUE,FALSE,NA,NA
"8","RT @dewamavhinga: Breaking: #Zimbabwe former deputy president to #Mugabe, R.P Mphoko reportedly handed over to Zimbabwe police by Botswana…",FALSE,0,NA,2017-12-01 19:52:07,FALSE,NA,"936684355862265856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZamanniSteve",17,TRUE,FALSE,NA,NA
"9","RT @dewamavhinga: Breaking: #Zimbabwe former deputy president to #Mugabe, R.P Mphoko reportedly handed over to Zimbabwe police by Botswana…",FALSE,0,NA,2017-12-01 19:51:55,FALSE,NA,"936684305849257984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Fiicaan",17,TRUE,FALSE,NA,NA
"10","The #Mugabe boys still partying in Jo'burg like nothing's changed. Would be great to see them face justice. <ed><U+00A0><U+00BC><ed><U+00BD><U+00BE><ed><U+00A0><U+00BC><ed><U+00B7><U+00BF><ed><U+00A0><U+00BC><ed><U+00B7><U+00A6><ed><U+00A0><U+00BC><ed><U+00B7><U+00BF><ed><U+00A0><U+00BC><ed><U+00B7><U+00BC> #C4News",FALSE,0,NA,2017-12-01 19:47:26,FALSE,NA,"936683175232798725",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Garbotron",0,FALSE,FALSE,NA,NA
